Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.clcore.json	33295	-	0	0	0	0	0	0	4	86	0	0	0	0	0	0	0	0	0	0	164	82	0	0	0	7	0	2
fsh-generated/resources/AllergyIntolerance-222.json	285	2	0	0	0	1	0	0	0	41	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	1
fsh-generated/resources/AuditEvent-AuditEventEx.json	1247	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	12	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-BundleEx.json	616	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodComunasCL.json	23374	45	1	0	0	0	0	0	2	63	0	0	1	0	0	0	0	0	0	0	130	1909	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-CSCodMadurez.json	1086	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	34	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSCodProvinciasCL.json	4454	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	27	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodRegionCL.json	2028	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	26	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSCodSSalud.json	3256	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	27	0	0	1	0	1	0
fsh-generated/resources/CodeSystem-CSCodigoDNI.json	3046	5	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	19	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSCodigoServicio.json	1917	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	24	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-CSCodigoVacunas.json	8087	11	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	51	35	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSCodigoslenguaje.json	7013	9	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	54	36	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadesDeisCL.json	6031	9	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	37	31	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-CSIdentidaddeGenero.json	1230	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	21	0	0	0	0	0	0
