URL,Version,Status,OIDs,Name,Title,Descriptino,Used
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSCodComunasCL,1.8.10,active,,CSCodComunasCL,Códigos de Comunas en Chile,"Códigos de Comunas para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSCodMadurez,1.8.10,active,,CSCodMadurez,Códigos de grado de madurez del artefacto,"Códigos de grado de madurez del artefacto",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSCodProvinciasCL,1.8.10,active,,CSCodProvinciasCL,Códigos de Provincias en Chile,"Códigos de Provincias para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSCodRegionCL,1.8.10,active,,CSCodRegionCL,Códigos de Regiones en Chile,"Códigos de Regiones para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSCodSSalud,1.8.10,active,,CSCodSSaludCL,Servicios de Salud Chile,"Códigos del Sistema Nacional de Servicios de Salud",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSCodigoDNI,1.8.10,active,,CSCodigoDNI,Códigos de Documentos DNI para LATAM y el Caribe,"Códigos para los DNI de países de America Latina y el Caribe según indicaciones de VS HL7 de V3",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSCodigoServicio,1.8.10,active,,CSCodServicioCL,Tipos de Servicios Remotos,"Códigos para los Servicios realizados en un encuentro remoto según indicaciones del Ministerio de Salud",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSCodigoVacunas,1.8.10,active,,CSTiposVacunaCL,Códigos de Vacunas RNI,"Códigos de las vacunas o inmunizaciones según indicaciones del Ministerio de Salud",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSCodigoslenguaje,1.8.10,active,,CSCodigoslenguaje,Codigos Lenguaje,"Codigoslenguaje",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSEspecialidadesDeisCL,1.8.10,active,,CSEspecialidadesDeisCL,Códigos de Especialidades,"Códigos de especialidades médicas descritas según DEIS",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSIdentidaddeGenero,1.8.10,active,,CSIdentidaddeGenero,Identidad de Genero,"Identidad de Genero",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSIdentificadores,1.8.10,active,,CSIdentificadores,Identificadores,"Identificadores",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSNombreCampana,1.8.10,active,,CSNombreCampanaCL,Campañas Inmunización,"Códigos de las campañas de vacunas o inmunizaciones según indicaciones del Ministerio de Salud",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSPrevision,1.8.10,active,,CSPrevision,Prevision,"Prevision",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSRazonNOT,1.8.10,active,,CSRazonNOencuentroCL,Razones Cancelación Atención Remota,"Códigos de las razones por la cual un encuentro remoto no pudo realizarse según indicaciones del Ministerio de Salud",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSRazonNOTinm,1.8.10,active,,CSRazonNOinmunizacionCL,Razones no Inmunización,"Códigos de las razones por la cual el registro de inmunización no pudo realizarse según indicaciones del Ministerio de Salud",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSSexoListadoDeis,1.8.10,active,,CSSexoListadoDeis,Sexo Listado Deis,"Sexo Listado Deis",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSTipoIdentificador,1.8.10,active,,CSTipoIdentificador,Tipo Identificador,"Tipo Identificador",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSTiposEncuentroCL,1.8.10,active,,CSTiposEncuentroCL,Tipos de Encuentro,"Códigos de Encuentros según MINSAL",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CodPais,1.8.10,active,,CSCodPaises,Códigos de Países,"Codigos definidos para la identificación de países segun norma ISO3166-N",
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/csrazonnoencuentro,1.8.10,active,,CSrazonnoencuentro,Razón Encuentro Remoto no Realizado,"Códigos de las razones por la cual un encuentro remoto no pudo realizarse según indicaciones del Ministerio de Salud",
